Plant Name,Soil Type,Soil pH,Temperature,Rainfall (mm),Required Fertilizer,Common Pests & Recommended Pesticides
Bamboo,Black,7.1,22,1668,NPK Fertilizer,Panama Wilt - Thiophanate
Rice,Laterite,5.7,26,2421,Farmyard Manure,Red Rot - Carbendazim
Strawberry,Laterite,6.7,19,722,NPK Fertilizer,Panama Wilt - Thiophanate
Neem,Red,6.3,22,1899,Potash Fertilizer,Leaf Spot - Chlorothalonil
Rice,Loamy,6.1,24,2465,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Cabbage,Clayey Loam,5.6,21,2488,Organic Compost,Blister Blight - Copper Oxychloride
Guava,Sandy Loam,5.6,12,1513,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Bamboo,Alluvial,5.8,24,609,Phosphate Fertilizer,Rust - Mancozeb
Potato,Laterite,6,34,2173,Urea,Powdery Mildew - Sulfur
Guava,Sandy,6.3,32,988,Phosphate Fertilizer,Panama Wilt - Thiophanate
Apple,Red,6.4,19,2189,NPK Fertilizer,Powdery Mildew - Sulfur
Cauliflower,Mountain,7.5,19,1953,Potash Fertilizer,Scab - Captan
Mustard,Clayey,6.2,18,675,Urea,Late Blight - Mancozeb
Black Gram,Loamy,7.4,26,1106,NPK Fertilizer,Powdery Mildew - Sulfur
Peach,Alluvial,6.2,19,2363,Organic Compost,Late Blight - Mancozeb
Blueberry,Laterite,6.3,11,1129,Farmyard Manure,Anthracnose - Carbendazim
Green Gram,Black,6.2,10,2428,Organic Compost,Red Rot - Carbendazim
Strawberry,Black,6,13,1254,Phosphate Fertilizer,Blast - Tricyclazole
Strawberry,Clayey,7.3,35,2301,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Strawberry,Sandy Loam,7,22,1300,Potash Fertilizer,Blister Blight - Copper Oxychloride
Basil,Clayey Loam,6,21,2121,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Turmeric,Laterite,5.9,19,2498,Phosphate Fertilizer,Thrips - Spinosad
Soybean,Clayey Loam,6.6,11,1053,NPK Fertilizer,Aphids - Imidacloprid
Jute,Clayey,5.9,20,886,Organic Compost,Late Blight - Mancozeb
Black Gram,Red,6.2,15,450,DAP,Anthracnose - Carbendazim
Mustard,Mountain,7.1,17,2103,DAP,Anthracnose - Carbendazim
Eucalyptus,Sandy Loam,5.7,28,1171,NPK Fertilizer,Anthracnose - Carbendazim
Wheat,Loamy,5.5,10,2073,Urea,Red Rot - Carbendazim
Cauliflower,Mountain,5.9,13,2493,NPK Fertilizer,Blister Blight - Copper Oxychloride
Apple,Mountain,5.7,16,711,Farmyard Manure,Blister Blight - Copper Oxychloride
Potato,Sandy,6.6,22,1728,NPK Fertilizer,Late Blight - Mancozeb
Mustard,Black,6.3,12,1966,Sulfur Fertilizer,Thrips - Spinosad
Onion,Loamy,6.3,19,1055,Sulfur Fertilizer,Anthracnose - Carbendazim
Pear,Laterite,6.7,25,1128,Farmyard Manure,Coffee Rust - Propiconazole
Eucalyptus,Black,6.9,24,915,Urea,Stem Borer - Carbaryl
Aloe Vera,Mountain,6.4,35,953,Farmyard Manure,Late Blight - Mancozeb
Turmeric,Red,6.3,29,2454,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Maize,Sandy Loam,5.6,16,2414,DAP,Rust - Propiconazole
Guava,Loamy,5.8,16,2058,Potash Fertilizer,Blister Blight - Copper Oxychloride
Ginger,Loamy,6.5,29,1653,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Ginger,Black,6.5,26,733,Sulfur Fertilizer,Stem Borer - Carbaryl
Cashew,Laterite,6.9,14,1663,NPK Fertilizer,Thrips - Spinosad
Green Gram,Sandy,6.7,27,1151,Potassium Nitrate,Aphids - Imidacloprid
Pumpkin,Mountain,6.5,11,715,Organic Compost,Late Blight - Mancozeb
Ginger,Red,5.5,12,1694,Farmyard Manure,Leaf Spot - Chlorothalonil
Mahogany,Sandy,6.6,31,1448,Potash Fertilizer,Panama Wilt - Thiophanate
Cashew,Black,5.6,27,617,Potash Fertilizer,Red Rot - Carbendazim
Rice,Mountain,5.8,34,1681,Potash Fertilizer,Anthracnose - Carbendazim
Radish,Black,6.7,35,355,DAP,Bud Rot - Copper Oxychloride
Blueberry,Alluvial,6.3,21,305,Organic Compost,Bud Rot - Copper Oxychloride
Maize,Red,5.5,22,2212,Farmyard Manure,Red Rot - Carbendazim
Green Gram,Clayey,7,32,834,Phosphate Fertilizer,Powdery Mildew - Sulfur
Apple,Clayey Loam,6.6,22,1177,NPK Fertilizer,Powdery Mildew - Sulfur
Basil,Clayey Loam,6.2,24,1945,Phosphate Fertilizer,Late Blight - Mancozeb
Green Gram,Mountain,6.8,10,340,Sulfur Fertilizer,Powdery Mildew - Sulfur
Cauliflower,Loamy,5.6,27,1183,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Black Gram,Loamy,6.9,35,1645,Organic Compost,Powdery Mildew - Sulfur
Green Gram,Loamy,6.1,14,534,Potash Fertilizer,Rust - Mancozeb
Cotton,Sandy Loam,6.7,14,805,DAP,Rust - Propiconazole
Carrot,Clayey Loam,7.2,28,852,Potash Fertilizer,Thrips - Spinosad
Groundnut,Sandy,5.9,19,1126,Urea,Anthracnose - Carbendazim
Cashew,Sandy Loam,6.9,22,2099,Sulfur Fertilizer,Mealybug - Buprofezin
Jute,Red,6.7,14,555,Potash Fertilizer,Rust - Mancozeb
Pineapple,Alluvial,6.3,23,2197,Sulfur Fertilizer,Blast - Tricyclazole
Rice,Clayey,6.5,15,478,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Cabbage,Laterite,6.2,19,2425,Potash Fertilizer,Thrips - Spinosad
Ginger,Black,7.3,15,1642,NPK Fertilizer,Mealybug - Buprofezin
Rice,Mountain,7.2,12,1704,Urea,Mealybug - Buprofezin
Turmeric,Red,7,16,1422,Calcium Ammonium Nitrate,Mealybug - Buprofezin
Green Gram,Sandy Loam,6.1,18,933,NPK Fertilizer,Powdery Mildew - Sulfur
Rice,Sandy Loam,7.5,19,1541,Sulfur Fertilizer,Late Blight - Mancozeb
Carrot,Mountain,7,11,1518,Phosphate Fertilizer,Blast - Tricyclazole
Cotton,Sandy,6.5,10,315,Organic Compost,Panama Wilt - Thiophanate
Tomato,Clayey,5.7,34,1347,DAP,Panama Wilt - Thiophanate
Wheat,Red,7.2,34,774,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Peas,Laterite,6.6,27,1582,Potassium Nitrate,Mealybug - Buprofezin
Pumpkin,Alluvial,7.2,19,337,Phosphate Fertilizer,Panama Wilt - Thiophanate
Papaya,Red,6.7,16,655,Potassium Nitrate,Late Blight - Mancozeb
Sunflower,Mountain,5.8,32,747,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Cashew,Clayey Loam,5.5,22,1347,Farmyard Manure,Leaf Curl - Imidacloprid
Pineapple,Clayey,6.6,15,713,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Radish,Mountain,6.8,30,1708,Urea,Bollworm - Cypermethrin
Jute,Sandy,6,21,1535,Sulfur Fertilizer,Scab - Captan
Guava,Clayey Loam,6.3,24,1515,Potassium Nitrate,Scab - Captan
Brinjal,Sandy,6.3,17,1248,Organic Compost,Anthracnose - Carbendazim
Papaya,Black,6.5,35,851,Organic Compost,Bollworm - Cypermethrin
Peas,Mountain,5.7,18,1412,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Sugarcane,Black,7.4,20,1717,DAP,Bollworm - Cypermethrin
Blueberry,Red,6.3,31,1917,NPK Fertilizer,Red Rot - Carbendazim
Bamboo,Red,7.3,22,1580,Phosphate Fertilizer,Rust - Mancozeb
Potato,Red,7.4,22,499,Phosphate Fertilizer,Powdery Mildew - Sulfur
Coffee,Black,7.5,32,1400,DAP,Rust - Mancozeb
Basil,Black,6.1,24,961,Organic Compost,Scab - Captan
Basil,Clayey,5.7,25,1836,Farmyard Manure,Mealybug - Buprofezin
Peach,Loamy,5.5,13,2062,Sulfur Fertilizer,Powdery Mildew - Sulfur
Onion,Loamy,7,12,1069,Farmyard Manure,Rust - Propiconazole
Mahogany,Alluvial,7.4,31,2457,Farmyard Manure,Mealybug - Buprofezin
Basil,Red,5.6,32,1110,DAP,Panama Wilt - Thiophanate
Blueberry,Clayey Loam,6,22,1808,Sulfur Fertilizer,Aphids - Imidacloprid
Mahogany,Red,5.8,11,576,Potassium Nitrate,Scab - Captan
Sunflower,Sandy,6.4,35,672,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Pumpkin,Sandy Loam,6.5,18,1070,Potash Fertilizer,Rust - Propiconazole
Lentils,Laterite,6.2,29,503,Phosphate Fertilizer,Aphids - Imidacloprid
Basil,Sandy Loam,6.9,15,376,Phosphate Fertilizer,Red Rot - Carbendazim
Jackfruit,Laterite,6.4,25,2225,NPK Fertilizer,Coffee Rust - Propiconazole
Green Gram,Clayey Loam,7.2,31,383,NPK Fertilizer,Mealybug - Buprofezin
Jackfruit,Sandy,6.8,30,369,Sulfur Fertilizer,Bollworm - Cypermethrin
Pomegranate,Sandy,7.2,12,841,DAP,Anthracnose - Carbendazim
Watermelon,Loamy,7.1,11,955,Farmyard Manure,Aphids - Imidacloprid
Pumpkin,Alluvial,6.5,21,1389,Sulfur Fertilizer,Anthracnose - Carbendazim
Bamboo,Laterite,7.4,33,1514,Sulfur Fertilizer,Thrips - Spinosad
Pineapple,Clayey,5.6,22,1031,Organic Compost,Red Rot - Carbendazim
Okra,Mountain,6.2,15,1380,Urea,Rust - Propiconazole
Groundnut,Clayey,6.8,16,2027,Organic Compost,Aphids - Imidacloprid
Carrot,Sandy Loam,5.6,11,549,Potash Fertilizer,Rust - Mancozeb
Wheat,Sandy Loam,6.1,19,2454,Urea,Aphids - Imidacloprid
Rice,Loamy,6.6,14,794,Potash Fertilizer,Late Blight - Mancozeb
Spinach,Clayey,6.3,10,2049,Farmyard Manure,Scab - Captan
Eucalyptus,Sandy,7.4,18,1234,Organic Compost,Stem Borer - Carbaryl
Jute,Clayey,5.5,17,1416,Sulfur Fertilizer,Late Blight - Mancozeb
Spinach,Alluvial,6.8,28,1036,Potassium Nitrate,Thrips - Spinosad
Maize,Mountain,7,31,982,DAP,Mealybug - Buprofezin
Ginger,Sandy Loam,6.8,12,2377,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Sunflower,Sandy Loam,5.7,33,1448,Organic Compost,Blister Blight - Copper Oxychloride
Tea,Mountain,7.3,12,322,Potassium Nitrate,Rust - Mancozeb
Banana,Red,6,34,1954,Organic Compost,Mealybug - Buprofezin
Groundnut,Red,5.9,16,1933,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Turmeric,Sandy Loam,6.7,32,1421,Urea,Red Rot - Carbendazim
Guava,Clayey Loam,5.8,20,1336,DAP,Thrips - Spinosad
Lentils,Clayey,7,29,613,NPK Fertilizer,Leaf Curl - Imidacloprid
Lentils,Sandy,5.8,28,2077,Urea,Aphids - Imidacloprid
Cauliflower,Sandy Loam,7.4,14,2355,Potassium Nitrate,Leaf Curl - Imidacloprid
Sunflower,Sandy,6.3,21,1155,Potash Fertilizer,Rust - Propiconazole
Pomegranate,Sandy,5.9,17,715,DAP,Stem Borer - Carbaryl
Soybean,Black,6.2,12,1020,Potash Fertilizer,Blast - Tricyclazole
Coffee,Clayey,6.4,19,1182,Calcium Ammonium Nitrate,Blast - Tricyclazole
Basil,Laterite,6.9,13,1415,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Pear,Clayey,7.1,27,1647,DAP,Rust - Mancozeb
Potato,Clayey Loam,6.5,33,644,DAP,Rust - Propiconazole
Tea,Alluvial,6.9,27,1500,DAP,Leaf Curl - Imidacloprid
Aloe Vera,Black,6,26,2375,Potash Fertilizer,Powdery Mildew - Sulfur
Coffee,Clayey,6.8,19,796,Farmyard Manure,Bollworm - Cypermethrin
Ginger,Sandy,5.7,23,2068,NPK Fertilizer,Blast - Tricyclazole
Brinjal,Black,7.1,21,341,Urea,Mealybug - Buprofezin
Cotton,Black,6.3,19,1928,Farmyard Manure,Late Blight - Mancozeb
Blueberry,Sandy,7.3,13,1979,NPK Fertilizer,Panama Wilt - Thiophanate
Sunflower,Clayey,7,11,2458,DAP,Late Blight - Mancozeb
Watermelon,Red,6.9,11,1092,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Apple,Sandy Loam,7.2,29,1678,Sulfur Fertilizer,Leaf Curl - Imidacloprid
Pear,Red,7.2,24,302,Farmyard Manure,Anthracnose - Carbendazim
Jute,Clayey Loam,7.2,23,1342,DAP,Thrips - Spinosad
Peach,Mountain,5.8,32,2129,Urea,Powdery Mildew - Sulfur
Blueberry,Black,7.5,27,2120,Organic Compost,Blast - Tricyclazole
Strawberry,Laterite,7.4,31,2240,Potash Fertilizer,Bud Rot - Copper Oxychloride
Neem,Laterite,5.7,29,629,Potash Fertilizer,Late Blight - Mancozeb
Bamboo,Black,7.1,19,1712,Potassium Nitrate,Thrips - Spinosad
Tomato,Black,6.8,33,688,Phosphate Fertilizer,Mealybug - Buprofezin
Aloe Vera,Sandy,7.2,23,2040,Farmyard Manure,Aphids - Imidacloprid
Jute,Loamy,7.1,21,1965,Potassium Nitrate,Blister Blight - Copper Oxychloride
Turmeric,Red,5.8,11,2287,DAP,Scab - Captan
Coconut,Laterite,7.1,11,524,Urea,Aphids - Imidacloprid
Strawberry,Sandy Loam,6.8,23,1420,NPK Fertilizer,Bollworm - Cypermethrin
Carrot,Black,7.3,13,2152,Potash Fertilizer,Panama Wilt - Thiophanate
Sugarcane,Clayey,5.8,31,1350,DAP,Rust - Propiconazole
Basil,Laterite,6.7,25,1821,DAP,Coffee Rust - Propiconazole
Rice,Sandy Loam,7,21,2274,Organic Compost,Anthracnose - Carbendazim
Coconut,Red,6.4,29,1438,DAP,Leaf Spot - Chlorothalonil
Maize,Sandy Loam,7.4,15,1477,NPK Fertilizer,Bollworm - Cypermethrin
Okra,Black,5.6,27,459,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Aloe Vera,Loamy,6.4,27,671,Urea,Blast - Tricyclazole
Sugarcane,Clayey Loam,6,13,2164,Potassium Nitrate,Thrips - Spinosad
Jackfruit,Sandy,7.3,32,1597,DAP,Scab - Captan
Aloe Vera,Mountain,6.4,26,558,Potassium Nitrate,Mealybug - Buprofezin
Ginger,Black,7.1,28,1923,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Turmeric,Clayey Loam,5.7,33,971,Potassium Nitrate,Leaf Curl - Imidacloprid
Okra,Clayey,6.9,29,568,Phosphate Fertilizer,Late Blight - Mancozeb
Eucalyptus,Clayey Loam,7.1,18,1528,Potash Fertilizer,Stem Borer - Carbaryl
Ginger,Black,6.3,28,2043,Sulfur Fertilizer,Red Rot - Carbendazim
Green Gram,Black,7.5,24,496,Calcium Ammonium Nitrate,Scab - Captan
Groundnut,Sandy Loam,7.1,10,1479,Organic Compost,Rust - Propiconazole
Black Gram,Clayey Loam,6.6,30,1289,Organic Compost,Leaf Curl - Imidacloprid
Ginger,Red,7.2,14,446,NPK Fertilizer,Red Rot - Carbendazim
Lentils,Red,6.8,33,883,Sulfur Fertilizer,Powdery Mildew - Sulfur
Brinjal,Loamy,5.7,35,1313,DAP,Coffee Rust - Propiconazole
Tomato,Alluvial,5.6,23,1177,Potash Fertilizer,Anthracnose - Carbendazim
Mustard,Sandy Loam,5.5,33,2455,Sulfur Fertilizer,Rust - Propiconazole
Coffee,Clayey Loam,6.8,12,1431,Phosphate Fertilizer,Rust - Mancozeb
Sugarcane,Sandy,6.8,30,971,Farmyard Manure,Stem Borer - Carbaryl
Potato,Sandy,7.2,30,1822,Farmyard Manure,Mealybug - Buprofezin
Sunflower,Clayey,6.4,33,1439,Calcium Ammonium Nitrate,Rust - Mancozeb
Carrot,Alluvial,6,17,1970,DAP,Leaf Curl - Imidacloprid
Cashew,Black,7.4,19,2184,Sulfur Fertilizer,Panama Wilt - Thiophanate
Bamboo,Sandy Loam,6.3,13,707,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Okra,Mountain,7.5,32,336,DAP,Thrips - Spinosad
Watermelon,Sandy Loam,5.9,19,1175,Phosphate Fertilizer,Coffee Rust - Propiconazole
Eucalyptus,Laterite,6.2,23,1188,Farmyard Manure,Rust - Mancozeb
Watermelon,Red,6.3,32,2295,Phosphate Fertilizer,Scab - Captan
Neem,Laterite,6.8,19,1348,Organic Compost,Bud Rot - Copper Oxychloride
Neem,Sandy Loam,6.5,26,2139,Potash Fertilizer,Anthracnose - Carbendazim
Sugarcane,Sandy Loam,7,19,303,Farmyard Manure,Blister Blight - Copper Oxychloride
Onion,Clayey Loam,5.9,27,378,Potash Fertilizer,Rust - Mancozeb
Pumpkin,Sandy,5.7,34,1328,Farmyard Manure,Panama Wilt - Thiophanate
Jute,Clayey,6.8,17,333,Potassium Nitrate,Mealybug - Buprofezin
Groundnut,Loamy,6.8,29,1761,Sulfur Fertilizer,Thrips - Spinosad
Tomato,Mountain,7,26,1284,NPK Fertilizer,Blister Blight - Copper Oxychloride
Mustard,Red,7,15,1984,Organic Compost,Leaf Spot - Chlorothalonil
Watermelon,Laterite,6.8,14,1917,Organic Compost,Rust - Propiconazole
Peas,Clayey Loam,5.6,18,1343,NPK Fertilizer,Panama Wilt - Thiophanate
Pear,Alluvial,7.2,35,2001,DAP,Bud Rot - Copper Oxychloride
Maize,Mountain,5.7,10,2364,Potash Fertilizer,Aphids - Imidacloprid
Sunflower,Clayey Loam,6.4,16,1103,Potassium Nitrate,Bollworm - Cypermethrin
Ginger,Sandy,6.1,16,2245,Potash Fertilizer,Mealybug - Buprofezin
Spinach,Sandy,7.1,34,1315,NPK Fertilizer,Aphids - Imidacloprid
Blueberry,Red,7.1,35,1014,NPK Fertilizer,Rust - Propiconazole
Pear,Mountain,7,23,796,DAP,Leaf Spot - Chlorothalonil
Soybean,Clayey Loam,5.7,15,897,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Watermelon,Loamy,5.8,18,521,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Maize,Loamy,5.7,13,2368,Sulfur Fertilizer,Red Rot - Carbendazim
Cabbage,Sandy,7.5,18,682,Potassium Nitrate,Rust - Propiconazole
Soybean,Laterite,6,24,2011,Organic Compost,Stem Borer - Carbaryl
Peas,Sandy,7.1,28,526,Potassium Nitrate,Leaf Spot - Chlorothalonil
Apple,Clayey,7.3,35,1834,Potash Fertilizer,Stem Borer - Carbaryl
Pomegranate,Loamy,6.4,14,1622,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Turmeric,Alluvial,7.4,14,2011,Phosphate Fertilizer,Red Rot - Carbendazim
Brinjal,Laterite,6.7,13,1833,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Jute,Black,7.3,22,2433,Organic Compost,Late Blight - Mancozeb
Mango,Laterite,7.3,35,2258,Farmyard Manure,Bud Rot - Copper Oxychloride
Rice,Laterite,7.1,34,1825,Potash Fertilizer,Red Rot - Carbendazim
Cabbage,Sandy Loam,5.9,15,675,Organic Compost,Mealybug - Buprofezin
Mustard,Laterite,6.4,17,701,Phosphate Fertilizer,Stem Borer - Carbaryl
Coffee,Mountain,6.3,13,2154,Urea,Mealybug - Buprofezin
Groundnut,Clayey Loam,7.2,22,656,Organic Compost,Coffee Rust - Propiconazole
Strawberry,Clayey Loam,6.5,31,706,Urea,Leaf Curl - Imidacloprid
Basil,Mountain,5.8,15,1721,Sulfur Fertilizer,Panama Wilt - Thiophanate
Peach,Mountain,6.1,24,1186,Calcium Ammonium Nitrate,Rust - Propiconazole
Pumpkin,Black,6.6,22,1133,Potash Fertilizer,Rust - Mancozeb
Eucalyptus,Red,5.6,34,1025,Urea,Aphids - Imidacloprid
Mango,Red,5.6,30,1578,Organic Compost,Mealybug - Buprofezin
Chili,Clayey,6.7,29,1924,Sulfur Fertilizer,Anthracnose - Carbendazim
Basil,Clayey,6,24,2476,Farmyard Manure,Late Blight - Mancozeb
Onion,Laterite,6.1,30,2297,NPK Fertilizer,Bollworm - Cypermethrin
Rice,Mountain,6.1,21,1025,Urea,Panama Wilt - Thiophanate
Coconut,Laterite,5.9,35,446,Calcium Ammonium Nitrate,Mealybug - Buprofezin
Pumpkin,Mountain,5.8,17,305,Farmyard Manure,Stem Borer - Carbaryl
Tomato,Clayey Loam,6.2,12,2416,DAP,Leaf Curl - Imidacloprid
Eucalyptus,Loamy,7.5,28,2325,Potash Fertilizer,Stem Borer - Carbaryl
Watermelon,Mountain,5.8,10,2337,Farmyard Manure,Thrips - Spinosad
Chili,Red,6.6,21,566,Potassium Nitrate,Aphids - Imidacloprid
Watermelon,Sandy Loam,6.5,20,1064,NPK Fertilizer,Scab - Captan
Mango,Loamy,5.9,18,1587,Potash Fertilizer,Thrips - Spinosad
Brinjal,Mountain,7.4,17,2247,NPK Fertilizer,Bollworm - Cypermethrin
Pineapple,Alluvial,6.2,19,405,Potash Fertilizer,Thrips - Spinosad
Papaya,Sandy,6,28,1777,Potash Fertilizer,Late Blight - Mancozeb
Cauliflower,Clayey,7.1,17,405,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Watermelon,Mountain,7.5,12,2181,Farmyard Manure,Blister Blight - Copper Oxychloride
Turmeric,Sandy Loam,6.1,16,1552,Organic Compost,Blast - Tricyclazole
Mustard,Clayey Loam,6.6,12,1531,NPK Fertilizer,Stem Borer - Carbaryl
Groundnut,Laterite,5.8,21,1757,Organic Compost,Panama Wilt - Thiophanate
Strawberry,Red,6.6,22,759,Potash Fertilizer,Stem Borer - Carbaryl
Rice,Mountain,6.6,31,734,Phosphate Fertilizer,Mealybug - Buprofezin
Cotton,Black,6,34,1439,DAP,Aphids - Imidacloprid
Onion,Sandy Loam,6.5,20,1519,Phosphate Fertilizer,Rust - Mancozeb
Basil,Loamy,7.1,23,1823,Organic Compost,Rust - Mancozeb
Pomegranate,Loamy,6,22,1689,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Ginger,Red,6.4,33,2204,Sulfur Fertilizer,Rust - Propiconazole
Spinach,Black,5.8,26,1052,NPK Fertilizer,Rust - Mancozeb
Coconut,Sandy Loam,7,13,2477,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Jute,Sandy Loam,5.7,29,2198,Phosphate Fertilizer,Thrips - Spinosad
Pumpkin,Loamy,5.7,23,2452,NPK Fertilizer,Rust - Mancozeb
Aloe Vera,Clayey Loam,5.6,30,972,Farmyard Manure,Aphids - Imidacloprid
Guava,Clayey Loam,7.2,26,590,Potassium Nitrate,Scab - Captan
Banana,Sandy,7.4,23,1646,NPK Fertilizer,Coffee Rust - Propiconazole
Chili,Sandy,5.7,15,1269,NPK Fertilizer,Scab - Captan
Brinjal,Laterite,7.5,34,385,Potassium Nitrate,Bollworm - Cypermethrin
Turmeric,Laterite,6.4,34,1041,Potash Fertilizer,Leaf Spot - Chlorothalonil
Cauliflower,Alluvial,5.9,21,1593,Organic Compost,Blister Blight - Copper Oxychloride
Coconut,Alluvial,6.2,30,320,DAP,Powdery Mildew - Sulfur
Ginger,Mountain,5.6,28,1954,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Mustard,Clayey,6.1,30,1125,Potash Fertilizer,Coffee Rust - Propiconazole
Onion,Clayey,6.9,16,1020,Potassium Nitrate,Thrips - Spinosad
Tomato,Sandy,5.8,22,2143,Farmyard Manure,Scab - Captan
Black Gram,Black,5.6,13,2053,Farmyard Manure,Bud Rot - Copper Oxychloride
Rice,Clayey,6.5,24,667,Farmyard Manure,Coffee Rust - Propiconazole
Neem,Sandy Loam,6.4,19,1093,Urea,Bud Rot - Copper Oxychloride
Soybean,Black,6.4,32,1033,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Maize,Sandy,5.7,15,2164,Organic Compost,Powdery Mildew - Sulfur
Tea,Laterite,6.9,32,1286,Farmyard Manure,Anthracnose - Carbendazim
Okra,Laterite,6,23,841,DAP,Blister Blight - Copper Oxychloride
Peach,Loamy,6.5,20,2214,Urea,Blister Blight - Copper Oxychloride
Jackfruit,Clayey Loam,5.5,23,1293,Farmyard Manure,Panama Wilt - Thiophanate
Ginger,Loamy,6.7,26,400,Urea,Stem Borer - Carbaryl
Papaya,Sandy,6.8,29,2289,Calcium Ammonium Nitrate,Blast - Tricyclazole
Blueberry,Red,5.9,23,471,Urea,Panama Wilt - Thiophanate
Papaya,Clayey,5.6,20,2024,NPK Fertilizer,Coffee Rust - Propiconazole
Tomato,Sandy Loam,5.9,20,1821,Urea,Rust - Mancozeb
Eucalyptus,Alluvial,6.8,21,1636,NPK Fertilizer,Rust - Propiconazole
Bamboo,Loamy,7,15,829,Potassium Nitrate,Powdery Mildew - Sulfur
Apple,Clayey,6.5,15,918,NPK Fertilizer,Aphids - Imidacloprid
Peach,Sandy,6,20,2299,NPK Fertilizer,Thrips - Spinosad
Ginger,Clayey Loam,7.1,34,2477,Sulfur Fertilizer,Stem Borer - Carbaryl
Jute,Loamy,6.1,34,2282,Farmyard Manure,Stem Borer - Carbaryl
Carrot,Laterite,7.1,27,1869,DAP,Stem Borer - Carbaryl
Turmeric,Mountain,6.2,21,1601,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Pineapple,Clayey,7.1,11,1914,Potash Fertilizer,Stem Borer - Carbaryl
Okra,Laterite,6.8,14,1502,NPK Fertilizer,Stem Borer - Carbaryl
Onion,Red,7.3,12,1408,Sulfur Fertilizer,Leaf Curl - Imidacloprid
Maize,Laterite,6.3,20,2434,Urea,Rust - Mancozeb
Strawberry,Alluvial,6.7,17,1688,Potash Fertilizer,Red Rot - Carbendazim
