Plant Name,Soil Type,Soil pH,Temperature,Rainfall,Required Fertilizer,Common Pests & Recommended Pesticides
Sunflower,Red,7.3,21,1154,DAP,Thrips - Spinosad
Carrot,Alluvial,5.8,34,1440,Potassium Nitrate,Blast - Tricyclazole
Black Gram,Mountain,5.9,29,1443,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Pineapple,Mountain,6.3,18,1304,Sulfur Fertilizer,Powdery Mildew - Sulfur
Coconut,Laterite,6.2,25,729,Urea,Bollworm - Cypermethrin
Sugarcane,Laterite,7,33,1381,Urea,Late Blight - Mancozeb
Mango,Loamy,6.5,26,837,Farmyard Manure,Red Rot - Carbendazim
Jackfruit,Black,6.1,34,1465,DAP,Aphids - Imidacloprid
Black Gram,Sandy Loam,5.5,18,1593,Urea,Scab - Captan
Brinjal,Clayey,7.1,27,1429,Phosphate Fertilizer,Red Rot - Carbendazim
Peach,Clayey,5.5,19,1650,Phosphate Fertilizer,Mealybug - Buprofezin
Ginger,Loamy,6.7,19,630,Phosphate Fertilizer,Anthracnose - Carbendazim
Mahogany,Clayey Loam,5.5,16,1832,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Wheat,Alluvial,7.2,18,2417,DAP,Rust - Mancozeb
Blueberry,Loamy,7.5,16,870,NPK Fertilizer,Aphids - Imidacloprid
Potato,Sandy Loam,7.1,35,1334,Potash Fertilizer,Red Rot - Carbendazim
Jute,Loamy,7.3,17,1013,Phosphate Fertilizer,Late Blight - Mancozeb
Coconut,Sandy,5.5,17,858,Calcium Ammonium Nitrate,Rust - Mancozeb
Eucalyptus,Laterite,7.1,12,1489,Urea,Rust - Mancozeb
Pumpkin,Sandy Loam,5.6,16,2062,Potash Fertilizer,Leaf Curl - Imidacloprid
Neem,Loamy,6.5,16,1196,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Jackfruit,Clayey Loam,6.6,15,661,Urea,Red Rot - Carbendazim
Rice,Red,7.1,10,813,Organic Compost,Aphids - Imidacloprid
Groundnut,Mountain,6.6,10,2316,Phosphate Fertilizer,Bollworm - Cypermethrin
Tea,Clayey,6.9,15,1661,Organic Compost,Rust - Propiconazole
Ginger,Mountain,7.2,11,642,DAP,Stem Borer - Carbaryl
Spinach,Sandy Loam,7,20,1407,Organic Compost,Rust - Propiconazole
Aloe Vera,Laterite,6.2,10,1854,Organic Compost,Late Blight - Mancozeb
Turmeric,Red,6.7,25,2311,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Bamboo,Clayey Loam,6.4,14,661,NPK Fertilizer,Blast - Tricyclazole
Tea,Sandy,6.4,29,789,Sulfur Fertilizer,Aphids - Imidacloprid
Tomato,Clayey Loam,6.4,12,1342,Potash Fertilizer,Powdery Mildew - Sulfur
Jute,Sandy Loam,7.2,16,521,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Pumpkin,Sandy Loam,7.1,11,817,Phosphate Fertilizer,Rust - Propiconazole
Tea,Laterite,6.9,27,1108,Organic Compost,Red Rot - Carbendazim
Rice,Sandy,6.2,27,2181,Potash Fertilizer,Scab - Captan
Potato,Loamy,6.2,15,429,Farmyard Manure,Mealybug - Buprofezin
Peach,Laterite,7.2,26,1653,Urea,Leaf Curl - Imidacloprid
Pear,Loamy,6.5,34,2091,Phosphate Fertilizer,Stem Borer - Carbaryl
Pumpkin,Laterite,5.7,27,660,Urea,Thrips - Spinosad
Jackfruit,Clayey Loam,6.6,25,1880,Organic Compost,Anthracnose - Carbendazim
Mango,Mountain,7.3,21,1768,Organic Compost,Blister Blight - Copper Oxychloride
Peach,Mountain,6.6,33,1530,Potash Fertilizer,Coffee Rust - Propiconazole
Brinjal,Sandy,5.6,28,931,Phosphate Fertilizer,Mealybug - Buprofezin
Brinjal,Laterite,5.6,17,2408,NPK Fertilizer,Coffee Rust - Propiconazole
Peas,Loamy,6.5,18,1882,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Coffee,Red,5.8,22,1856,Sulfur Fertilizer,Blister Blight - Copper Oxychloride
Potato,Sandy,7.2,31,1714,DAP,Rust - Mancozeb
Green Gram,Clayey Loam,6.6,10,1676,Urea,Blast - Tricyclazole
Turmeric,Clayey,7.2,11,1110,Urea,Powdery Mildew - Sulfur
Chili,Loamy,6.7,11,745,Sulfur Fertilizer,Panama Wilt - Thiophanate
Brinjal,Clayey Loam,6.5,17,870,DAP,Leaf Spot - Chlorothalonil
Soybean,Red,7.2,11,1172,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Blueberry,Red,6.7,11,1233,Farmyard Manure,Anthracnose - Carbendazim
Apple,Clayey,6.5,35,1147,Urea,Panama Wilt - Thiophanate
Sugarcane,Mountain,6.1,15,698,Calcium Ammonium Nitrate,Panama Wilt - Thiophanate
Turmeric,Loamy,7.1,22,2486,Potassium Nitrate,Leaf Spot - Chlorothalonil
Onion,Loamy,7.4,12,1379,Urea,Rust - Propiconazole
Wheat,Clayey,5.9,17,546,Farmyard Manure,Red Rot - Carbendazim
Pineapple,Red,6.5,33,739,Potassium Nitrate,Leaf Curl - Imidacloprid
Green Gram,Sandy Loam,7,23,2117,DAP,Powdery Mildew - Sulfur
Green Gram,Clayey Loam,6.1,32,2100,Potassium Nitrate,Red Rot - Carbendazim
Wheat,Alluvial,7.1,29,541,DAP,Blister Blight - Copper Oxychloride
Guava,Loamy,5.9,33,2194,Organic Compost,Bud Rot - Copper Oxychloride
Eucalyptus,Red,7,19,1542,Calcium Ammonium Nitrate,Panama Wilt - Thiophanate
Pumpkin,Loamy,6.1,21,2005,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Sugarcane,Red,6.1,12,1442,Calcium Ammonium Nitrate,Rust - Propiconazole
Aloe Vera,Black,6,10,961,Phosphate Fertilizer,Rust - Propiconazole
Pumpkin,Sandy,6.7,35,731,DAP,Mealybug - Buprofezin
Peach,Sandy Loam,7,20,1009,DAP,Blast - Tricyclazole
Neem,Sandy Loam,5.6,30,1810,Urea,Coffee Rust - Propiconazole
Sugarcane,Mountain,5.8,22,958,Organic Compost,Blast - Tricyclazole
Cabbage,Sandy,7.1,30,1380,Sulfur Fertilizer,Aphids - Imidacloprid
Aloe Vera,Red,7.4,11,1955,Calcium Ammonium Nitrate,Blast - Tricyclazole
Coffee,Sandy,6.1,34,1975,Urea,Blast - Tricyclazole
Tea,Alluvial,5.6,12,2499,Sulfur Fertilizer,Blast - Tricyclazole
Tomato,Black,5.7,23,2107,NPK Fertilizer,Powdery Mildew - Sulfur
Papaya,Black,6.4,31,1396,Phosphate Fertilizer,Rust - Mancozeb
Potato,Sandy,7.1,23,352,NPK Fertilizer,Thrips - Spinosad
Pomegranate,Sandy,6.2,16,1653,Potash Fertilizer,Leaf Spot - Chlorothalonil
Coconut,Loamy,5.6,30,568,Sulfur Fertilizer,Red Rot - Carbendazim
Onion,Black,6.7,26,1118,DAP,Red Rot - Carbendazim
Watermelon,Sandy,5.8,10,598,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Chili,Clayey,7,24,2072,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Coffee,Mountain,5.8,29,976,NPK Fertilizer,Stem Borer - Carbaryl
Carrot,Loamy,6.7,33,2398,Organic Compost,Red Rot - Carbendazim
Onion,Sandy Loam,6.2,14,416,Urea,Blast - Tricyclazole
Maize,Alluvial,5.7,17,1085,NPK Fertilizer,Coffee Rust - Propiconazole
Aloe Vera,Red,7.3,18,1103,Organic Compost,Blister Blight - Copper Oxychloride
Papaya,Loamy,6.4,26,924,Farmyard Manure,Aphids - Imidacloprid
Tea,Alluvial,6.9,18,2204,Phosphate Fertilizer,Stem Borer - Carbaryl
Turmeric,Sandy,6.2,20,665,Farmyard Manure,Bollworm - Cypermethrin
Sunflower,Loamy,7.1,24,1126,Calcium Ammonium Nitrate,Anthracnose - Carbendazim
Neem,Black,6.1,12,808,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Neem,Sandy,6.8,25,490,Organic Compost,Late Blight - Mancozeb
Mustard,Sandy,6.3,10,684,Calcium Ammonium Nitrate,Thrips - Spinosad
Neem,Black,6.9,14,2114,Farmyard Manure,Powdery Mildew - Sulfur
Green Gram,Clayey,6.7,20,1867,Organic Compost,Thrips - Spinosad
Lentils,Black,5.8,29,2224,Farmyard Manure,Anthracnose - Carbendazim
Neem,Mountain,7.1,29,1849,NPK Fertilizer,Leaf Spot - Chlorothalonil
Wheat,Sandy Loam,5.7,25,382,Organic Compost,Mealybug - Buprofezin
Pear,Red,6.5,14,1756,Organic Compost,Thrips - Spinosad
Watermelon,Clayey Loam,5.8,16,740,Phosphate Fertilizer,Mealybug - Buprofezin
Lentils,Red,7,21,2247,Organic Compost,Blister Blight - Copper Oxychloride
Ginger,Sandy,5.5,25,1481,Sulfur Fertilizer,Stem Borer - Carbaryl
Mango,Clayey,6.2,19,1193,Phosphate Fertilizer,Powdery Mildew - Sulfur
Potato,Sandy Loam,6.1,26,1466,Potash Fertilizer,Thrips - Spinosad
Coconut,Black,7,30,1617,Sulfur Fertilizer,Coffee Rust - Propiconazole
Ginger,Mountain,7.3,31,660,Phosphate Fertilizer,Scab - Captan
Sunflower,Black,6.1,35,1608,Sulfur Fertilizer,Rust - Mancozeb
Cotton,Black,6.7,10,1387,Sulfur Fertilizer,Leaf Curl - Imidacloprid
Cotton,Mountain,5.7,28,1127,Potash Fertilizer,Red Rot - Carbendazim
Okra,Mountain,5.6,31,528,NPK Fertilizer,Mealybug - Buprofezin
Lentils,Laterite,6,34,763,Potash Fertilizer,Panama Wilt - Thiophanate
Chili,Black,6.6,10,2245,NPK Fertilizer,Anthracnose - Carbendazim
Groundnut,Sandy Loam,6.9,17,2316,Calcium Ammonium Nitrate,Thrips - Spinosad
Coconut,Laterite,7,29,732,Farmyard Manure,Red Rot - Carbendazim
Rice,Clayey,6.3,17,1792,Sulfur Fertilizer,Mealybug - Buprofezin
Papaya,Sandy,7,16,2367,NPK Fertilizer,Stem Borer - Carbaryl
Pear,Loamy,5.8,16,890,NPK Fertilizer,Leaf Spot - Chlorothalonil
Rice,Alluvial,5.5,21,420,DAP,Powdery Mildew - Sulfur
Peas,Sandy Loam,6.7,16,412,Potassium Nitrate,Anthracnose - Carbendazim
Cabbage,Clayey Loam,5.7,13,792,NPK Fertilizer,Rust - Propiconazole
Guava,Laterite,6.9,34,2208,NPK Fertilizer,Thrips - Spinosad
Jute,Laterite,5.9,24,1144,DAP,Late Blight - Mancozeb
Potato,Sandy Loam,5.5,10,885,Farmyard Manure,Stem Borer - Carbaryl
Sunflower,Sandy,6.9,30,1454,Organic Compost,Rust - Propiconazole
Pumpkin,Laterite,6.6,15,2197,Sulfur Fertilizer,Aphids - Imidacloprid
Rice,Clayey,6.7,25,2499,Phosphate Fertilizer,Stem Borer - Carbaryl
Cauliflower,Clayey,7.3,23,2448,Organic Compost,Stem Borer - Carbaryl
Pumpkin,Black,5.7,26,1357,Potash Fertilizer,Bud Rot - Copper Oxychloride
Peas,Red,6.7,27,744,Sulfur Fertilizer,Blister Blight - Copper Oxychloride
Mustard,Laterite,6.9,30,1903,DAP,Blast - Tricyclazole
Onion,Sandy Loam,6.1,19,624,Potash Fertilizer,Coffee Rust - Propiconazole
Brinjal,Loamy,5.6,10,1055,DAP,Mealybug - Buprofezin
Banana,Clayey Loam,6,20,999,Potash Fertilizer,Mealybug - Buprofezin
Guava,Loamy,7.3,15,1026,NPK Fertilizer,Anthracnose - Carbendazim
Sunflower,Sandy Loam,6.1,10,2348,Farmyard Manure,Rust - Mancozeb
Spinach,Mountain,5.5,11,893,DAP,Leaf Spot - Chlorothalonil
Brinjal,Sandy,7.4,22,1452,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Peas,Laterite,6,10,832,Sulfur Fertilizer,Rust - Propiconazole
Aloe Vera,Loamy,7.2,21,1372,Organic Compost,Red Rot - Carbendazim
Basil,Sandy Loam,7.3,34,2101,Organic Compost,Panama Wilt - Thiophanate
Strawberry,Alluvial,7.4,23,536,Farmyard Manure,Bollworm - Cypermethrin
Okra,Clayey Loam,6.5,27,2076,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Peach,Black,7.3,31,2332,NPK Fertilizer,Blister Blight - Copper Oxychloride
Sugarcane,Black,6.5,14,2294,Farmyard Manure,Aphids - Imidacloprid
Okra,Clayey,7,31,314,Phosphate Fertilizer,Late Blight - Mancozeb
Pumpkin,Clayey,6.1,11,1232,Organic Compost,Mealybug - Buprofezin
Radish,Sandy,7.1,14,1323,NPK Fertilizer,Thrips - Spinosad
Banana,Red,5.6,28,1311,Phosphate Fertilizer,Rust - Mancozeb
Mustard,Black,6.2,14,1040,DAP,Aphids - Imidacloprid
Strawberry,Sandy,6.1,28,1860,Phosphate Fertilizer,Blast - Tricyclazole
